T,Si(g),Si2(g),SiO(g),SiO2(l)
298.15,-71.047,-93.311,22.303,150.045
300,-70.561,-92.674,22.194,149.061
400,-50.97,-67.01,17.812,109.407
500,-39.217,-51.632,15.167,85.617
600,-31.385,-41.395,13.392,69.765
700,-25.794,-34.094,12.116,58.453
800,-21.605,-28.626,11.152,43.4
900,-18.349,-24.379,10.397,38.145
1000,-15.748,-20.987,9.789,34.684
1100,-13.622,-18.215,9.287,33.85
1200,-11.852,-15.909,8.866,30.281
1300,-10.357,-13.962,8.506,27.264
1400,-9.078,-12.296,8.196,24.68
1500,-7.971,-10.855,7.924,22.443
1600,-7.003,-9.597,7.684,20.487
1700,-6.165,-8.517,7.457,18.749
1800,-5.494,-7.707,7.18,17.132
1900,-4.895,-6.983,6.93,15.687
2000,-4.357,-6.334,6.705,14.388
2100,-3.87,-5.748,6.499,13.226
2200,-3.428,-5.216,6.312,12.172
2300,-3.026,-4.732,6.14,11.212
2400,-2.657,-4.289,5.981,10.334
2500,-2.318,-3.883,5.834,9.528
2600,-2.006,-3.509,5.698,8.785
2700,-1.717,-3.164,5.571,8.099
2800,-1.449,-2.844,5.453,7.463
2900,-1.2,-2.547,5.342,6.872
3000,-0.967,-2.27,5.238,6.322
3100,-0.75,-2.012,,
3200,-0.547,-1.771,,
3300,-0.356,-1.545,,
3400,-0.177,-1.333,,
3500,-0.008,-1.134,,
3600,0,,,
3700,0,,,
3800,0,,,
3900,0,,,
4000,0,,,
