BSE,
X,Y
1809.5068227173058,-4.262232471026472
1832.540485315297,-4.16023317236205
1856.9290692425818,-4.054911216765105
1881.3176531698666,-3.952096926777612
1905.7062370971516,-3.8527933686433498
1930.0948210244364,-3.7554959429966486
1954.4834049517212,-3.658700050471838
1980.2269102082996,-3.560449711893545
2005.970415464878,-3.463603666056544
2031.7139207214566,-3.3695160523899403
2060.1672686366223,-3.267914560679018
2089.9755378810814,-3.163686859166198
2119.7838071255405,-3.0643833010319357
2149.59207637,-2.9650797428976743
2179.400345614459,-2.867007220608051
2209.2086148589183,-2.7750898775416273
2239.016884103378,-2.682351843912109
2268.825153347837,-2.593306917816512
2298.6334225922965,-2.505082682284006
2328.4416918367556,-2.418499827877686
2358.2499610812147,-2.335610081005285
2388.0582303256742,-2.253130679414431
2417.8664995701333,-2.1727030042313107
2447.6747688145924,-2.0926856743297355
2477.483038059052,-2.015951106680533
2507.291307303511,-1.9379855031866908
2537.09957654797,-1.8645336977898603
2566.9078457924297,-1.7898508565483908
2596.716115036889,-1.7163990511515608
2626.524384281348,-1.6429472457547307
2657.4165905892423,-1.5716702703500967
2686.1409227702666,-1.5017884689027219
2715.9491920147257,-1.4307987351951708
2745.757461259185,-1.3606296920507126
2775.5657305036443,-1.2916916847508944
2805.3739997481034,-1.223164022732623
2835.182268992563,-1.1550467059958978
2864.990538237022,-1.087339734540719
2894.798807481481,-1.0196327630855402
2924.6070767259407,-0.9523361369119083
2954.4153459704,-0.8846291654567295
2984.223615214859,-0.8185635751277371
3014.0318844593185,-0.7512669489541048
3043.8401537037776,-0.6856117039066589
3073.6484229482367,-0.6191357682961196
3103.456692192696,-0.5526598326855807
3133.2649614371553,-0.4878252782012278
3163.0732306816144,-0.4238114142799678
3192.881499926074,-0.35815616923252236
3222.689769170533,-0.29414230531126195
3252.498038414992,-0.23053878667154848
3282.3063076594517,-0.16611457746874247
3312.114576903911,-0.09963864185820359
3335.961192299478,-0.04916617222797948
